iter	Passed	Remaining
1157	7673	12206
1158	7679	12199
1159	7686	12191
1160	7692	12185
1161	7699	12179
1162	7706	12172
1163	7713	12165
1164	7719	12159
1165	7726	12153
1166	7733	12146
1167	7740	12140
1168	7747	12134
1169	7754	12128
1170	7761	12122
1171	7768	12116
1172	7774	12109
1173	7781	12103
1174	7788	12097
1175	7794	12089
1176	7800	12082
1177	7807	12075
1178	7814	12069
1179	7823	12066
1180	7829	12059
1181	7836	12052
1182	7843	12046
1183	7849	12040
1184	7856	12033
1185	7862	12025
1186	7869	12019
1187	7876	12013
1188	7884	12008
1189	7890	12002
1190	7897	11994
1191	7903	11988
1192	7911	11982
1193	7918	11976
1194	7924	11969
1195	7931	11963
1196	7937	11956
1197	7944	11949
1198	7950	11943
1199	7957	11936
1200	7963	11929
1201	7970	11922
1202	7976	11915
1203	7983	11908
1204	7989	11901
1205	7996	11894
1206	8002	11887
1207	8008	11880
1208	8014	11873
1209	8021	11865
1210	8027	11858
1211	8033	11851
1212	8039	11843
1213	8045	11836
1214	8051	11829
1215	8057	11821
1216	8063	11813
1217	8069	11806
1218	8076	11799
1219	8082	11791
1220	8088	11784
1221	8094	11777
1222	8101	11770
1223	8107	11763
1224	8113	11756
1225	8120	11750
1226	8126	11743
1227	8133	11735
1228	8139	11728
1229	8145	11721
1230	8151	11714
1231	8157	11706
1232	8164	11699
1233	8170	11692
1234	8176	11684
1235	8181	11677
1236	8187	11669
1237	8193	11661
1238	8199	11654
1239	8205	11646
1240	8211	11638
1241	8217	11631
1242	8223	11624
1243	8229	11617
1244	8234	11607
1245	8240	11600
1246	8246	11592
1247	8252	11585
