date_mutation,valeur_fonciere,adresse_nom_voie,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,prix_m2,annee,mois,nombre_lots
2023-01-12,2000000.0,RUE SAINTE-ANNE,75002.0,Paris 2e Arrondissement,Appartement,70.0,2,2.336289,48.867262,28571.43,2023,1,2
2023-01-12,395000.0,RUE SAINT MAUR,75010.0,Paris 10e Arrondissement,Appartement,39.0,2,2.372114,48.870918,10128.21,2023,1,1
2023-01-18,281000.0,SQ DE VERDUN,75010.0,Paris 10e Arrondissement,Appartement,30.0,1,2.362402,48.876209,9366.67,2023,1,1
2023-01-20,236000.0,RUE BEAUBOURG,75003.0,Paris 3e Arrondissement,Appartement,24.0,1,2.35494,48.864243,9833.33,2023,1,1
2023-01-13,1770000.0,RUE JOUFFROY D'ABBANS,75017.0,Paris 17e Arrondissement,Appartement,163.0,5,2.301872,48.881908,10858.9,2023,1,2
2023-01-09,470000.0,RUE DE LA MARE,75020.0,Paris 20e Arrondissement,Appartement,46.0,2,2.388665,48.868903,10217.39,2023,1,1
2023-01-10,285000.0,RUE DE PONTHIEU,75008.0,Paris 8e Arrondissement,Appartement,23.0,1,2.310586,48.870133,12391.3,2023,1,1
2023-01-13,917000.0,RUE DE CHEROY,75017.0,Paris 17e Arrondissement,Appartement,76.0,4,2.318268,48.882477,12065.79,2023,1,1
2023-01-06,394180.0,PL CHARLES DULLIN,75018.0,Paris 18e Arrondissement,Appartement,30.0,2,2.342565,48.88315,13139.33,2023,1,2
2023-01-20,2412580.0,RUE MEDERIC,75017.0,Paris 17e Arrondissement,Appartement,160.0,5,2.305174,48.881064,15078.62,2023,1,4
2023-01-13,304300.0,RUE BAYEN,75017.0,Paris 17e Arrondissement,Appartement,30.0,1,2.295285,48.879529,10143.33,2023,1,3
2023-01-11,293640.0,RUE DU FBG SAINT DENIS,75010.0,Paris 10e Arrondissement,Appartement,32.0,2,2.355967,48.877833,9176.25,2023,1,1
2023-01-19,631830.0,PL CONST PECQUEUR,75018.0,Paris 18e Arrondissement,Appartement,55.0,2,2.338572,48.889148,11487.82,2023,1,2
2023-01-11,765000.0,BD PEREIRE,75017.0,Paris 17e Arrondissement,Appartement,47.0,2,2.297954,48.885914,16276.6,2023,1,2
2023-01-06,137000.0,AV DE SAINT-OUEN,75017.0,Paris 17e Arrondissement,Appartement,12.0,1,2.325428,48.889551,11416.67,2023,1,1
